company,"sum(total_laid_off)"
JetClosing,20.0
Jimdo,50.0
"Jounce Therapeutics",
"Juniper Square",
Juul,1300.0
Kabam,35.0
Kandji,
Katerra,3074.0
Kavak,150.0
"Kayak / OpenTable",160.0
Khoros,120.0
KiwiCo,40.0
"Kodiak Robotics",15.0
KoinWorks,70.0
"Komodo Health",101.0
Kuda,23.0
Lacework,300.0
Lattice,29.0
Lawgeex,30.0
Laybuy,45.0
Ledn,
Legible,23.0
Lendis,18.0
Lenovo,
LetsGetChecked,
"Lido Learning",
Liftoff,130.0
Lightico,40.0
Lime,80.0
Linkfire,35.0
Liongard,
"Liv Up",100.0
LiveRamp,
Livspace,450.0
Locomation,
"Loja Integrada",25.0
"Lucid Diagnostics",
LumenAd,
"Lumina Networks",
Made.com,
"Magic Leap",1000.0
Magicbricks,250.0
Magnite,
MakerBot,12.0
Malwarebytes,125.0
Mapify,
Mavenir,
McMakler,190.0
"Me Poupe",60.0
MediBuddy,200.0
Meesho,650.0
Megaport,
Menulog,
Metigy,75.0
Mindstrong,127.0
"Minute Media",50.0
Mixpanel,65.0
Moglix,40.0
Monese,35.0
Monzo,285.0
Moss,70.0
"Motif Foodworks",
Movidesk,33.0
"Mr. Yum",
MX,200.0
"N-able Technologies",
N26,9.0
NanoString,
"National Instruments",
Navi,40.0
Nearmap,
Nestcoin,30.0
Netlify,48.0
Nextbite,
Ninjacart,200.0
NS8,240.0
Oatly,
"Octopus Network",
OfferUp,
OKCredit,30.0
Olive,450.0
OneStudyTeam,
OpenText,
OpenX,35.0
Oriente,400.0
OutboundEngine,52.0
Outschool,74.0
Overtime,30.0
OwnBackup,170.0
Oyster,
"Ozy Media",
Pagarbook,80.0
PagSeguro,
Pana,18.0
"Parallel Wireless",60.0
Parler,60.0
Passport,44.0
PayFit,200.0
PayJoy,27.0
PaySense,40.0
PayU,150.0
Pebblepost,
Peloton,4084.0
People.ai,30.0
PeopleGrove,
"Perimeter 81",20.0
"Perx Health",
Pesto,
Philips,10000.0
Pier,111.0
Pivot3,
Pix,
Playdots,65.0
Playtika,850.0
"Pocket Aces",50.0
Podium,
Polarr,10.0
PolicyGenius,170.0
"Politico / Protocol",13.0
Primer,85.0
Productboard,100.0
Proton.ai,
PuduTech,1500.0
Quandoo,87.0
Quicko,60.0
Qumulo,80.0
Rain,
Rangle,78.0
Rapyd,
"Rebel Foods",
"Redesign Health",67.0
Redox,44.0
Reforge,
Relevel,40.0
"Remote Year",50.0
Revelate,24.0
Revolut,60.0
"Rigetti Computing",
RigUp,120.0
Ro,
Rover,194.0
Rows,18.0
Ruangguru,
Ruggable,100.0
Rupeek,230.0
SafeGraph,27.0
Salesloft,100.0
Sami,75.0
"Sana Benefits",
"Sandbox VR",80.0
SAP,3000.0
ScaleFactor,90.0
ScaleFocus,120.0
Segment,50.0
SellerX,28.0
SEND,300.0
Sendoso,
Shakepay,21.0
Sharethrough,18.0
Shippo,60.0
Shopify,1150.0
ShopX,
"Sidecar Health",110.0
Sift,
SimilarWeb,120.0
Sinch,150.0
Skai,30.0
Skedulo,31.0
Sketch,80.0
Skillshare,31.0
Skyscanner,300.0
"Slice Labs",
"Snap Finance",
SoFi,112.0
Solarisbank,
SonderMind,
Sorabel,
SoundCloud,
Spaces,
Spin,78.0
Splyt,57.0
Springlane,
SQream,30.0
"SQZ Biotech",
SSense,138.0
"Stash Financial",40.0
Stint,28.0
StockX,300.0
Stoqo,250.0
StoryBlocks,
Stripe,1050.0
StrongDM,40.0
StudySmarter,70.0
StyleSeat,
Stytch,19.0
Submittable,30.0
Subspace,
Superloop,30.0
Superpedestrian,35.0
SWVL,400.0
SynapseFI,63.0
Synthego,105.0
Talkwalker,
Tally,28.0
TaskUs,238.0
Tencent,300.0
TextNow,22.0
"The Grommet",40.0
"The Guild",38.0
6sense,150.0
99,75.0
Ada,78.0
"Adaptive Biotechnologies",100.0
Addepar,20.0
Advata,32.0
Affirm,500.0
Agoda,1500.0
Air,
Airtame,15.0
Airtasker,
Airtime,30.0
"Airy Rooms",
AlayaCare,80.0
"Alto Pharmacy",47.0
Amazon,18150.0
Amobee,
Anagram,17.0
Andela,135.0
"Antidote Health",23.0
"Apartment List",29.0
"App Annie",80.0
ApplyBoard,90.0
"Aqua Security",89.0
Arc,13.0
"Argo AI",682.0
Argyle,20.0
Asana,180.0
AskNicely,
"Atlanta Tech Village",
Atome,
Augury,20.0
"Aura Financial",
Autodesk,250.0
Avalara,
AvantStay,224.0
Babylon,100.0
Baton,16.0
Beamery,
BeeTech,30.0
Benevity,137.0
Bestow,41.0
Better.com,3900.0
Betterment,28.0
BeyondMinds,65.0
Bitfront,
BitGo,
BitTorrent,92.0
Bittrex,80.0
Bizpay,
Blackbaud,500.0
BlackLine,95.0
"Blume Global",30.0
Bluprint,137.0
Bolt,307.0
Bond,
"Bonterra ",140.0
"Boosted Commerce",
Bounce,490.0
BounceX,77.0
Brainly,25.0
"Bridge Connector",154.0
Bridgit,13.0
Brodmann17,
Bullish,30.0
BusBud,23.0
Buser,160.0
"Butler Hospitality",1000.0
Button,48.0
Calibrate,156.0
Caliva,20.0
Calm,90.0
"Candidate Labs",
Capillary,
"Capital One",1100.0
CareerArc,
CarGurus,130.0
Carousell,110.0
Cart.com,
Catalyst,
Celsius,150.0
Cerebral,685.0
Chainalysis,44.0
Checkout.com,100.0
Checkr,64.0
Cheddar,
Chope,65.0
ChowNow,140.0
CircleCI,
Citizen,33.0
CityMall,191.0
Claravine,
Clear,190.0
Clearbit,
CleverTap,60.0
CloudFactory,
Cloudinary,40.0
Clubhouse,
Clumio,
Cognyte,100.0
Colossus,97.0
CommerceHub,371.0
Conga,
Connected,17.0
ConsenSys,191.0
Copper,35.0
"Coterie Insurance",30.0
Coursera,
Crayon,20.0
Creditas,
Criteo,
CrowdRiff,
Cruise,150.0
CTO.ai,30.0
Curefit,120.0
CureFit,800.0
Curology,150.0
Cypress.io,
D2iQ,34.0
DailyPay,
Dance,
"Daniel Wellington",200.0
Datto,
Defined.ai,
DeHaat,
Deliv,669.0
"Deliveroo Australia",120.0
Deputy,60.0
"Digital Surge",
DISCO,75.0
Dispatch,
"Divvy Homes",40.0
divvyDOSE,62.0
DJI,
Doma,1075.0
Dotscience,10.0
"DreamBox Learning",
Dropbox,315.0
"Dude Solutions",
Dukaan,23.0
Earnin,50.0
"Earth Rides",
Eatsy,20.0
Edgio,95.0
"Editas Medicine",
Electric,222.0
"Element Analytics",10.0
Elemy,
Elliptic,
"Embark Trucks",230.0
Emitwise,
"EMX Digital",100.0
Enjoei,31.0
Envoy,58.0
Ericsson,8500.0
Ermetic,30.0
"Ethos Life",108.0
ExtraHop,
Fareportal,200.0
FarEye,340.0
Fast,
Favo,170.0
Feather,
Fipola,
Fittr,30.0
"Flatiron School",100.0
Flytedesk,4.0
"Flywheel Sports",784.0
Foodsby,87.0
Forward,10.0
FourKites,60.0
Fraazo,150.0
Freetrade,45.0
Frontdesk,35.0
FrontRow,275.0
"Funding Societies",65.0
Furlenco,180.0
Gather,30.0
Genius,
Getaround,100.0
Getir,100.0
GetNinjas,11.0
Gitpod,21.0
Glitch,18.0
Glovo,250.0
GoBolt,55.0
GoCanvas,
Gokada,74.0
Goodfood,70.0
Gorillas,840.0
GoSpotCheck,23.0
GoStudent,300.0
"Greenhouse Software",120.0
Grin,60.0
"Grove Collaborative",
Gusto,126.0
Gympass,467.0
Handshake,
"Happy Money",158.0
Hash,58.0
HealthMatch,18.0
Hipcamp,
"Hippo Insurance",70.0
Hireology,36.0
Homeward,
HOOQ,250.0
HopSkipDrive,8.0
"Horizn Studios",15.0
Huawei,
Hubba,45.0
Hubilo,160.0
Icertis,
Igenous,
Ignition,
Illumina,500.0
"Imperfect Foods",50.0
InfoSum,20.0
Innovaccer,335.0
Inscripta,43.0
Inspectify,
Instamojo,6.0
Instructure,150.0
Intercom,212.0
IRL,25.0
iRobot,225.0
Jama,12.0
Jellyfish,
Jellysmack,208.0
Jiobit,6.0
Jumpcloud,100.0
"Just Eat Takeaway",390.0
Kaodim,
"Kapten / Free Now",
Karbon,
Kazoo,
Keepe,
Kogan,
Kongregate,12.0
Kontist,50.0
Kraken,1100.0
Kry,400.0
Kueski,90.0
Labelbox,36.0
"Ladder Life",13.0
"Lam Research",1300.0
"Lambda School",84.0
Landing,110.0
Lazerpay,
LEAD,140.0
Leafly,147.0
Lido,150.0
Life360,
"Lightspeed Commerce",300.0
Limeade,
Limelight,13.0
Lithic,27.0
LiveVox,
Loftium,32.0
Lummo,150.0
Lunchbox,60.0
Lyric,100.0
Lytics,
"Magic Eden",22.0
Mapbox,64.0
MariaDB,
Masse,
MasterClass,199.0
Medium,
Mercos,51.0
Milkrun,
MindBody,1100.0
"Modern Treasury",
Moovel,28.0
"Morning Brew",
Mural,90.0
MyGate,200.0
Namely,110.0
Nate,60.0
Natera,
Nativo,
"NCC Group",125.0
NetApp,960.0
"Next Insurance",150.0
Nextiva,
"Nirvana Money",
Notarize,170.0
"Nova Benefits",
Numbrs,62.0
Nutanix,270.0
NYDIG,110.0
Nylas,80.0
Observe.AI,
"Oh My Green",40.0
Omnipresent,
OnlyFans,
OPay,
"Open Co",
OpenWeb,14.0
Orbit,
Outdoorsy,
Owlet,
"Oye Rickshaw",40.0
Pacaso,100.0
PagBank,500.0
Palantir,75.0
Parsable,40.0
Pastel,
Patreon,151.0
"Pavilion Data",96.0
Peek,45.0
Pegasystems,245.0
"Perceptive Automata",
Perion,20.0
Permutive,30.0
PhableCare,
PharmEasy,40.0
PicoBrew,
Pipedrive,174.0
Pipl,22.0
Plato,29.0
Pollen,269.0
Polygon,100.0
Poshmark,
Postmates,180.0
Postscript,43.0
PowerReviews,
Practically,
Preply,26.0
Prisma,
Privitar,20.0
Propzy,
Prosus,
Proterra,300.0
Quantcast,70.0
Quartz,80.0
Rappi,
"Recur Forever",235.0
Redbubble,
RedDoorz,
Redfin,1568.0
Reef,750.0
Relativity,150.0
Reserve,
Restaurant365,175.0
"Riot Games",46.0
Robinhood,1053.0
Roku,200.0
"Rubicon Project",50.0
Rubrik,57.0
Saks.com,100.0
"Sales Boomerang",20.0
Salesforce,10090.0
SalesLoft,55.0
Samsara,300.0
Sanar,60.0
"SAP Labs",300.0
Scoro,
Sea,350.0
SecureWorks,212.0
SendCloud,
Sendy,84.0
"Share Now",150.0
ShareChat,701.0
Shift,
Shipsi,20.0
Side,
"Simon Data",6.0
Simple,
Siteimprove,40.0
Skillz,91.0
SkipTheDishes,350.0
Skit.ai,115.0
SmartNews,120.0
Smava,200.0
Snaptravel,
"Software AG",200.0
Sonos,174.0
SoundHound,245.0
Sourcegraph,24.0
Spotify,600.0
SquadVoice,
"Starship Technologies",30.0
Stashaway,31.0
Stedi,23.0
Strava,
SumUp,100.0
Sunday,90.0
SundaySky,24.0
Sweetgreen,35.0
Synamedia,200.0
Taboola,100.0
Tackle,
Takl,130.0
"Tapps Games",10.0
Teamwork,21.0
Tempo,
TenureX,
Tesla,
Textio,30.0
"The Appraisal Lane",
" Included Health",
"10X Genomics",100.0
1stdibs,70.0
"5B Solar",
"80 Acres Farms",
Abra,12.0
Accolade,
Actifio,54.0
ActiveCampaign,
"Ada Health",50.0
"Ada Support",36.0
Afterverse,60.0
Airtable,254.0
Akulaku,100.0
"AliExpress Russia",400.0
Allbirds,23.0
AllyO,
"Amber Group",
"Ambev Tech",50.0
"American Robotics",50.0
AngelList,20.0
Anyvision,
Anywell,11.0
AppGate,130.0
Armis,25.0
Articulate,38.0
Artnight,26.0
Astronomer,76.0
"Atlas Obscura ",15.0
"Avantage Entertainment",5.0
Avo,500.0
B8ta,250.0
"Back Market",93.0
"Bally's Interactive",
Beat,
Bench,47.0
BharatAgri,40.0
Bitfarms,
Bitrise,
BitSight,40.0
Bitso,180.0
BitTitan,70.0
Bizzabo,220.0
Blend,860.0
BlockFi,250.0
"Blue Apron",
BlueStacks,60.0
BookClub,12.0
Brainbase,
Brightline,
Buenbit,80.0
Builder,39.0
"Built In",78.0
Bungalow,70.0
BUX,
Bybit,600.0
"Byju's",4000.0
"C6 Bank",60.0
Cadre,28.0
"Candy Digital",33.0
Canoo,58.0
Capsule,
Cardlytics,51.0
Careem,536.0
"Career Karma",82.0
Cars24,600.0
Carvana,4000.0
Casavo,
Casper,78.0
Cazoo,750.0
Cheetah,
Chessable,29.0
"Chili Piper",58.0
Chime,156.0
Chipax,
CipherTrace,
Circ,100.0
CircleUp,
Classkick,
Clinc,40.0
CloudKitchens,
CoachHub,
Coda,
Code42,25.0
Cogito,24.0
Coinbase,2110.0
CoinJar,10.0
"Collective Health",54.0
CommentSold,
CommonBond,22.0
Community,40.0
Compass,1096.0
Compete,11.0
Confluent,221.0
Convene,150.0
Convoy,90.0
"Corvus Insurance",
CreateMe,
"Credit Sesame",22.0
Crunchyroll,85.0
Crypto.com,2260.0
"Culture Trip",95.0
Cvent,400.0
CyCognito,30.0
"Daily Harvest",60.0
"Dapper Labs",134.0
DataRobot,270.0
DataStax,15.0
Datera,
DayTwo,
Decent,
"Definitive Healthcare",55.0
Degreed,
"Delivery Hero",556.0
Dell,6650.0
Devo,
Dock,190.0
Docly,8.0
DocuSign,1351.0
"Domino Data Lab",
DraftKings,140.0
DriveWealth,
Drop,24.0
Dutchie,50.0
Eaze,25.0
Ebanx,402.0
"Eight Sleep",
Ejento,84.0
Elastic,
"Electronic Arts",200.0
Embroker,30.0
"Engine eCommerce",
Enjoy,400.0
EquityZen,30.0
Eucalyptus,50.0
Everlane,257.0
EVgo,40.0
Exodus,59.0
Fabric,120.0
Facily,260.0
Filevine,
Firework,
Fivetran,
Flipkart,
Flowhub,
Fluke,83.0
"Flux Systems",
Flymya,200.0
Foodpanda,140.0
ForeScout,100.0
Foxtrot,26.0
"Frequency Therapeutics",
Freshworks,90.0
Front,
"Funding Circle",85.0
G2,17.0
Gatherly,
Gavelytics,
Gem,100.0
Getta,30.0
Glassdoor,300.0
GloriFi,
Gojek,430.0
"GoTo Group",1300.0
Grab,360.0
Gramophone,75.0
GumGum,90.0
"Halcyon Health",
Harappa,60.0
HashiCorp,69.0
Haus,
Havenly,5.0
Headspace,50.0
Healthcare.com,149.0
Hedvig,12.0
"Help Scout",
Heroes,24.0
Highspot,100.0
Hirect,200.0
Hologram,80.0
HomeLight,
Hootsuite,520.0
Hopper,
Hotmart,227.0
Humble,10.0
Hunty,30.0
Hydrow,30.0
"IAM Robotics",
ID.me,130.0
Ideoclick,40.0
Iflix,50.0
Ignite,
Impact.com,
Impala,30.0
"Impossible Foods",50.0
"Incredible Health",9.0
InDebted,40.0
Influitive,
InfluxData,65.0
Inspirato,239.0
"Integral Ad Science",190.0
Integrate.ai,26.0
Intuit,715.0
InVision,22.0
"Iris Nova",9.0
IronNet,145.0
Jetty,35.0
JOKR,50.0
Jumio,100.0
Jump,500.0
Juni,72.0
Kandela,
Karat,47.0
Kiavi,39.0
Kite,
Klook,300.0
Koho,15.0
Konfio,180.0
kununu,
Kyruus,70.0
Lastline,50.0
"Le Tote",
Lendi,100.0
Lendingkart,500.0
LendingTree,200.0
"Lighthouse Labs",14.0
LinkedIn,960.0
Linktree,50.0
LivePerson,223.0
Loftsmart,25.0
Loggi,800.0
Lokalise,76.0
Lola,34.0
Loop,15.0
Luno,330.0
M1,38.0
Madefire,
MadeiraMadeira,60.0
"Make School",
Maven,31.0
Medallia,59.0
Medly,
Melio,60.0
Memmo,
Messari,
Meta,11000.0
MFine,600.0
Miro,119.0
MissFresh,
Modsy,
Mogo,78.0
Moladin,360.0
Momentive,180.0
Moove,
"Motif Investing",
Motional,
NCSoft,
NCX,
Neon,280.0
Nerdy,
Netflix,505.0
Nomad,
Nuri,45.0
Nuro,307.0
Nyriad,
Ocavu,20.0
Okta,324.0
Ola,2800.0
Olist,
OnDeck,
OneFootball,212.0
OneTrust,1100.0
OneWeb,451.0
Opal,20.0
Opencare,18.0
Openpay,83.0
Oportun,155.0
Orchard,180.0
Otonomo,80.0
Outbrain,38.0
Outreach,130.0
Outside,87.0
OYO,1850.0
"PACT Pharma",94.0
Pagaya,140.0
PagerDuty,
"Panda Squad",6.0
Papa,
Pared,
Payfactors,46.0
PayPal,2083.0
"Pear Therapeutics",118.0
"Pecan AI",30.0
Peerfit,
Peerspace,41.0
PeerStreet,126.0
Perkbox,
PerkSpot,10.0
Personetics,30.0
Picnic,
"Pico Interactive",400.0
Pinterest,150.0
Plaid,260.0
Pleo,150.0
Plerk,
"Plus One Robotics",
